Название,Название Кратко,ИНН,адрес,lat,lon,Код оквэд,Основной вид деятельности,Ссылка
"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""НОВОНАДЕЖДИНСКОЕ""",ОАО НОВОНАДЕЖДИНСКОЕ,3601003153,"396209, Воронежская обл., Аннинский район, пос. Новонадеждинский, ул. Центральная, д. 15А", 51.445975, 40.216373,01.11,"Выращивание зерновых (кроме риса), зернобобовых культур и семян масличных культур",https://spark-interfax.ru/voronezhskaya-oblast-anninski-raion/pao-novonadezhdinskoe-inn-3601003153-ogrn-1023600507358-95f26d90d56142f39779e576e86ee1d9
"АССОЦИАЦИЯ КРЕСТЬЯНСКИХ (ФЕРМЕРСКИХ) ХОЗЯЙСТВ ТАЛОВСКОГО РАЙОНА ВОРОНЕЖСКОЙ ОБЛАСТИ ""ТАЛОВСКАЯ""",АССОЦИАЦИЯ КФХ ТАЛОВСКАЯ,1023601357361,"397480, Воронежская обл., рабочий пос. Таловая, ул. Советская, д. 135", 51.118755, 40.722263,99999,99999,https://spark-interfax.ru/voronezhskaya-oblast-talovski-raion/okfkh-talovskaya-inn-3629003178-ogrn-1023601357361-6906d94c164d226ae0531b9aa8c04bb6
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КРАСИНСКОЕ""",ООО КРАСИНСКОЕ,3616016162,"396306, Воронежская обл., Новоусманский район, с. Орлово, ул. Пушкинская, д. 1", 51.733626, 39.611964,01.24,Выращивание семечковых и косточковых культур,https://spark-interfax.ru/voronezhskaya-oblast-novousmanski-raion/ooo-krasinskoe-inn-3616016162-ogrn-1133668031342-fc3a1dc1c86f4d3fa00ee0e44bba093d
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РОССОШАНСКАЯ НИВА""",ООО РОССОШАНСКАЯ НИВА,3627027705,"396621, Воронежская обл., Россошанский район, с. Лизиновка, ул. Ленина, д. 163", 50.123780, 39.482948,01.11.1,Выращивание зерновых культур,https://spark-interfax.ru/voronezhskaya-oblast-rossoshanski-raion/ooo-rossoshanskaya-niva-inn-3627027705-ogrn-1123627000463-e829f1fe9b5a4515a6f13034123a0d03
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""САНВАЛ""",ООО САНВАЛ,3609006396,"397220, Воронежская обл, м.р-н Грибановский, с.п. Верхнекарачанское, с Верхний Карачан, ул Свободы, д. 30", 51.401402, 41.773399,08.12,"Разработка гравийных и песчаных карьеров, добыча глины и каолина",https://spark-interfax.ru/voronezhskaya-oblast-gribanovski-raion/ooo-sanval-inn-3609006396-ogrn-1223600004099-db2b64e24a676340e053259aa8c0b7ff
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЗАВОД РАСТИТЕЛЬНЫХ МАСЕЛ КРАСНОСЁЛОВСКИЙ""",ООО ЗРМ КРАСНОСЁЛОВСКИЙ,3622005634,"397691, Воронежская обл., Петропавловский район, с. Красноселовка, ул. Южная, д. 32", 50.155643, 40.861885,10.41.2,Производство нерафинированных растительных масел и их фракций,https://spark-interfax.ru/voronezhskaya-oblast-petropavlovski-raion/ooo-zrm-krasnoselovski-inn-3622005634-ogrn-1093610001132-f65294a460d1480cb7d5e46900fcdde6
"СЕЛЬСКОХОЗЯЙСТВЕННАЯ АРТЕЛЬ ""СИНЯВСКАЯ""",СХА СИНЯВСКАЯ,3629005680,"397493, Воронежская обл., Таловский район, с. Синявка, ул. Свердлова", 51.255341, 40.992630,01.11.1,Выращивание зерновых культур,https://spark-interfax.ru/voronezhskaya-oblast-talovski-raion/kolkhoz-sinyavskaya-inn-3629005680-ogrn-1033691000463-0bfce8e234b848dca34fc2715ec16ae0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АГРОФИРМА ВТК""",ООО АГРОФИРМА ВТК,3661020266,"396315, Воронежская обл., Новоусманский район, пос. Южного Отделения Совхоза Им.Дзержинского, ул. Рационализаторов, д. 4 пом. 1", 51.725966, 39.713427,01.11,"Выращивание зерновых (кроме риса), зернобобовых культур и семян масличных культур",https://spark-interfax.ru/voronezhskaya-oblast-novousmanski-raion/ooo-agrofirma-vtk-inn-3661020266-ogrn-1023601529907-4ffcf197121d41ec971c1bd31c4748d6
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АГРОКОМ""",ООО АГРОКОМ,3665099059,"394038, Воронежская обл., г. Воронеж, ул. Дорожная, д. 17 офис 29", 51.662011, 39.134243,46.61,"Торговля оптовая машинами, оборудованием и инструментами для сельского хозяйства",https://spark-interfax.ru/voronezhskaya-oblast-voronezh/ooo-agrokom-inn-3665099059-ogrn-1143668010221-ad4eadc8a44d4878a85b763e46bf9a5e
АССОЦИАЦИЯ КРЕСТЬЯНСКИХ (ФЕРМЕРСКИХ) ХОЗЯЙСТВ И СЕЛЬСКОХОЗЯЙСТВЕННЫХ КООПЕРАТИВОВ ГРИБАНОВСКОГО РАЙОНА ВОРОНЕЖСКОЙ ОБЛАСТИ,АККОР ГРИБАНОВСКОГО РАЙОНА ВОРОНЕЖСКОЙ ОБЛАСТИ,1193600000307,"397228, Воронежская обл., Грибановский район, с. Новогольское, ул. Советская, д. 69", 51.486918, 41.454238,94.12,Деятельность профессиональных членских организаций,https://spark-interfax.ru/voronezhskaya-oblast-gribanovski-raion/obedinenie-akkor-gribanovskogo-raiona-voronezhskoi-oblasti-inn-3609006251-ogrn-1193600000307-855c1a263be88157e0531b9aa8c0fa20
